,area_type,availability,location,size,total_sqft,bath,balcony,price
104,Super built-up  Area,1,others,2,1200.0,2.0,2.0,50.0
105,Super built-up  Area,1,others,2,966.0,2.0,2.0,49.9
106,Built-up  Area,1,Nagarbhavi,3,1630.0,2.0,1.0,98.0
107,Built-up  Area,1,Rajaji Nagar,3,1640.0,3.0,2.0,229.0
108,Built-up  Area,1,others,2,782.0,2.0,2.0,55.68
109,Super built-up  Area,0,Devanahalli,2,1260.0,2.0,2.0,66.78
110,Super built-up  Area,1,others,3,1800.0,3.0,3.0,120.0
111,Super built-up  Area,1,others,3,1413.0,2.0,2.0,75.0
112,Super built-up  Area,1,Whitefield,2,1116.0,2.0,1.0,51.91
113,Super built-up  Area,1,Electronic City,3,1530.0,2.0,1.0,45.9
114,Built-up  Area,1,Ramamurthy Nagar,4,3700.0,4.0,1.0,225.0
115,Built-up  Area,1,Sarjapur  Road,3,2497.0,3.0,2.0,140.0
116,Super built-up  Area,1,Kengeri,3,1540.0,2.0,3.0,64.0
117,Super built-up  Area,0,Thanisandra,3,1436.0,3.0,1.0,74.75
118,Super built-up  Area,0,Malleshwaram,2,1100.0,2.0,2.0,75.0
119,Plot  Area,1,Hennur Road,2,276.0,3.0,3.0,23.0
120,Super built-up  Area,1,Thanisandra,3,1427.0,3.0,2.0,120.0
121,Super built-up  Area,1,Akshaya Nagar,3,2061.0,3.0,1.0,200.0
122,Super built-up  Area,0,Hebbal,4,5611.5,4.0,0.0,477.0
123,Built-up  Area,1,others,4,2650.0,4.0,2.0,150.0
124,Super built-up  Area,0,Devanahalli,3,1282.0,2.0,2.0,68.52
125,Built-up  Area,1,Kadugodi,2,1050.0,2.0,1.0,34.0
126,Built-up  Area,1,others,3,1600.0,3.0,2.0,65.0
127,Super built-up  Area,0,others,2,945.0,2.0,1.0,54.0
128,Super built-up  Area,1,Hormavu,2,1500.0,2.0,1.0,78.0
129,Plot  Area,1,others,7,950.0,7.0,0.0,115.0
130,Built-up  Area,1,others,3,1870.0,3.0,3.0,110.0
131,Plot  Area,1,Sarjapur,3,1600.0,3.0,1.0,75.0
132,Super built-up  Area,1,Electronic City,2,880.0,1.0,1.0,16.5
133,Plot  Area,1,others,4,1200.0,4.0,0.0,210.0
134,Super built-up  Area,1,Kudlu Gate,3,1535.0,3.0,2.0,83.0
135,Built-up  Area,1,Kanakpura Road,2,950.0,2.0,1.0,57.0
136,Super built-up  Area,0,Devanahalli,2,1360.0,2.0,1.0,65.0
137,Super built-up  Area,0,8th Phase JP Nagar,2,1073.5,2.0,0.0,54.005
138,Super built-up  Area,0,Bommasandra Industrial Area,3,1280.0,3.0,1.0,50.4
139,Super built-up  Area,0,others,3,1260.0,2.0,2.0,85.05
141,Super built-up  Area,0,Yelahanka,5,3050.0,5.0,1.0,213.0
142,Super built-up  Area,1,Kasavanhalli,3,1563.05,3.0,1.0,105.0
143,Super built-up  Area,1,others,2,1000.0,2.0,1.0,60.0
144,Super built-up  Area,0,Anandapura,2,1167.0,2.0,1.0,43.76
145,Super built-up  Area,1,others,7,4000.0,7.0,2.0,225.0
147,Super built-up  Area,1,Kengeri Satellite Town,2,890.0,2.0,1.0,35.0
148,Super built-up  Area,1,others,3,1612.0,3.0,3.0,46.74
150,Super built-up  Area,0,Mysore Road,3,1710.0,4.0,2.0,91.31
151,Super built-up  Area,1,others,2,957.0,2.0,1.0,58.0
152,Super built-up  Area,0,others,3,1250.0,2.0,3.0,44.0
154,Super built-up  Area,1,Hulimavu,2,1125.0,2.0,2.0,50.0
155,Super built-up  Area,0,Electronic City Phase II,2,1020.0,2.0,1.0,30.6
156,Super built-up  Area,1,Kalena Agrahara,2,1200.0,2.0,2.0,50.0
157,Super built-up  Area,1,Thanisandra,3,1735.0,3.0,3.0,135.0
158,Super built-up  Area,1,Thanisandra,3,2050.0,3.0,1.0,145.0
159,Plot  Area,1,others,4,3750.0,4.0,0.0,760.0
160,Built-up  Area,1,others,3,1350.0,2.0,3.0,48.0
161,Super built-up  Area,0,Hosa Road,2,1063.0,2.0,1.0,32.0
162,Super built-up  Area,1,others,3,1904.0,3.0,1.0,150.0
163,Built-up  Area,1,Whitefield,4,4200.0,4.0,2.0,420.0
164,Super built-up  Area,1,others,3,2000.0,3.0,1.0,175.0
165,Super built-up  Area,0,Sarjapur,2,1242.5,2.0,0.0,43.49
166,Super built-up  Area,1,others,3,1425.0,2.0,2.0,75.0
167,Super built-up  Area,1,Electronic City,3,1500.0,2.0,1.0,64.5
168,Built-up  Area,1,Electronic City,2,1060.0,2.0,1.0,60.0
169,Built-up  Area,1,others,3,1470.0,2.0,2.0,70.0
170,Super built-up  Area,1,others,6,1300.0,6.0,0.0,99.0
171,Super built-up  Area,1,Attibele,1,450.0,1.0,1.0,11.0
172,Super built-up  Area,0,Electronic City,2,1152.0,2.0,1.0,64.5
173,Super built-up  Area,1,Electronic City,3,1350.0,2.0,1.0,56.0
174,Super built-up  Area,1,CV Raman Nagar,3,1550.0,3.0,3.0,65.0
175,Plot  Area,1,others,3,1500.0,3.0,2.0,100.0
176,Plot  Area,1,Kumaraswami Layout,5,600.0,3.0,2.0,85.0
177,Plot  Area,1,others,1,400.0,1.0,0.0,14.0
178,Super built-up  Area,1,Malleshwaram,1,705.0,1.0,2.0,67.0
179,Built-up  Area,1,Electronic City,2,770.0,1.0,1.0,36.0
180,Super built-up  Area,1,Hulimavu,2,1242.0,2.0,3.0,51.0
181,Super built-up  Area,1,Hebbal Kempapura,3,1700.0,3.0,2.0,155.0
182,Super built-up  Area,1,Thanisandra,3,2144.0,3.0,2.0,145.0
183,Super built-up  Area,0,Vijayanagar,3,1704.0,3.0,2.0,110.0
184,Super built-up  Area,1,Electronic City,2,1070.0,2.0,1.0,52.0
185,Plot  Area,1,others,3,1846.0,3.0,2.0,300.0
186,Super built-up  Area,1,others,2,1340.0,2.0,2.0,55.7
187,Built-up  Area,1,Electronic City,2,1025.0,2.0,1.0,46.0
188,Super built-up  Area,1,KR Puram,2,1277.5,2.0,0.0,56.8
189,Super built-up  Area,1,Marathahalli,2,1200.0,2.0,2.0,52.0
190,Built-up  Area,0,Kanakpura Road,4,2250.0,4.0,1.0,110.0
191,Super built-up  Area,1,others,3,1550.0,2.0,3.0,80.0
193,Plot  Area,1,others,7,1800.0,7.0,1.0,250.0
194,Super built-up  Area,1,Marathahalli,2,1200.0,2.0,2.0,60.0
195,Super built-up  Area,1,Yelahanka,2,1327.0,2.0,2.0,98.0
196,Super built-up  Area,1,Kothanur,2,1186.0,2.0,2.0,58.0
197,Built-up  Area,1,others,3,1783.0,3.0,1.0,115.0
198,Super built-up  Area,1,HSR Layout,3,1400.0,3.0,2.0,56.0
199,Super built-up  Area,1,others,2,980.0,2.0,1.0,48.0
200,Super built-up  Area,1,others,2,1285.0,2.0,2.0,82.0
201,Super built-up  Area,1,others,3,912.0,2.0,1.0,70.0
202,Built-up  Area,1,Whitefield,2,1225.0,2.0,2.0,47.6
203,Super built-up  Area,1,Whitefield,2,1075.0,2.0,1.0,53.0
204,Built-up  Area,1,Kadugodi,3,1260.0,2.0,2.0,54.0
205,Super built-up  Area,1,Yelahanka,3,1282.0,2.0,2.0,48.7
206,Super built-up  Area,1,others,3,1909.0,3.0,2.0,88.0
207,Super built-up  Area,1,Panathur,2,1359.0,2.0,1.0,87.0
208,Built-up  Area,1,others,2,1207.0,2.0,2.0,43.5
209,Plot  Area,1,Padmanabhanagar,4,1736.0,6.0,0.0,190.0
210,Super built-up  Area,0,others,4,2850.0,4.0,1.0,428.0
211,Super built-up  Area,1,Kammasandra,3,1595.0,3.0,2.0,65.0
212,Built-up  Area,0,others,3,1798.0,3.0,2.0,89.0
213,Super built-up  Area,1,Electronics City Phase 1,3,1475.0,3.0,2.0,78.29
214,Super built-up  Area,1,others,3,1580.0,3.0,3.0,100.0
215,Super built-up  Area,1,others,2,1295.0,2.0,1.0,65.0
216,Built-up  Area,1,others,6,3600.0,6.0,0.0,141.0
217,Super built-up  Area,1,Electronic City,1,589.0,1.0,1.0,27.0
218,Super built-up  Area,1,others,3,1415.0,3.0,3.0,78.0
219,Super built-up  Area,0,Sarjapur  Road,3,1787.0,3.0,2.0,98.29
220,Super built-up  Area,1,Sarjapur  Road,3,1787.0,3.0,2.0,125.0
221,Super built-up  Area,1,Koramangala,3,1475.0,2.0,3.0,90.0
222,Built-up  Area,1,others,4,2000.0,4.0,1.0,75.5
223,Super built-up  Area,0,Sarjapur  Road,2,984.0,2.0,1.0,44.28
225,Super built-up  Area,1,others,3,2405.0,4.0,2.0,260.0
226,Built-up  Area,1,7th Phase JP Nagar,2,1080.0,2.0,2.0,72.0
227,Plot  Area,1,others,2,1500.0,2.0,1.0,115.0
228,Super built-up  Area,1,Hebbal,3,1900.0,3.0,2.0,119.0
229,Super built-up  Area,0,others,2,805.0,2.0,1.0,22.14
230,Super built-up  Area,1,Budigere,2,1153.0,2.0,2.0,56.4
231,Super built-up  Area,1,others,2,1148.0,2.0,2.0,60.0
232,Super built-up  Area,1,others,2,1110.0,2.0,2.0,55.0
233,Built-up  Area,1,Electronic City,2,1100.0,2.0,2.0,42.0
234,Super built-up  Area,1,others,2,1290.0,2.0,2.0,110.0
235,Super built-up  Area,1,others,3,1500.0,2.0,1.0,65.0
236,Super built-up  Area,0,others,2,1080.0,2.0,2.0,39.0
237,Super built-up  Area,0,Vijayanagar,3,1933.0,3.0,1.0,129.0
238,Built-up  Area,1,Ramamurthy Nagar,5,3500.0,5.0,2.0,150.0
239,Built-up  Area,1,others,2,1060.0,2.0,2.0,60.0
240,Super built-up  Area,0,Chandapura,1,645.0,1.0,1.0,16.45
241,Plot  Area,1,others,8,2600.0,8.0,2.0,180.0
242,Super built-up  Area,0,Chandapura,1,645.0,1.0,1.0,16.45
243,Super built-up  Area,1,others,3,1644.0,3.0,3.0,84.0
244,Super built-up  Area,1,others,2,1285.0,2.0,3.0,72.5
245,Plot  Area,1,Electronic City,3,1200.0,3.0,1.0,90.0
246,Super built-up  Area,1,Electronic City,2,910.0,2.0,1.0,40.0
247,Super built-up  Area,1,Kothanur,3,1577.0,3.0,1.0,70.0
248,Plot  Area,0,others,3,4050.0,3.0,2.0,280.0
249,Super built-up  Area,1,others,3,2420.0,3.0,2.0,185.0
250,Super built-up  Area,1,Chandapura,2,800.0,1.0,1.0,20.0
251,Built-up  Area,1,others,2,1060.0,2.0,2.0,55.0
252,Super built-up  Area,1,7th Phase JP Nagar,2,1270.0,2.0,2.0,93.0
253,Super built-up  Area,0,others,2,900.0,2.0,2.0,22.5
254,Built-up  Area,1,others,2,1280.0,2.0,1.0,69.0
255,Plot  Area,1,Horamavu Agara,4,1200.0,2.0,0.0,95.0
256,Built-up  Area,1,Sarjapur  Road,2,1025.0,2.0,2.0,36.0
257,Super built-up  Area,0,Electronic City,2,1108.0,2.0,1.0,63.0
259,Super built-up  Area,1,others,3,3045.0,3.0,2.0,170.0
260,Plot  Area,1,Ambedkar Nagar,4,2900.0,3.0,2.0,300.0
261,Super built-up  Area,1,Vijayanagar,3,1500.0,3.0,2.0,75.5
262,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1295.0,2.0,2.0,43.9
263,Super built-up  Area,1,Budigere,2,1162.0,2.0,1.0,59.9
264,Super built-up  Area,1,Sarjapur  Road,2,1035.0,2.0,2.0,49.2
265,Built-up  Area,1,Attibele,4,1600.0,4.0,0.0,52.8
266,Super built-up  Area,1,others,3,1464.0,3.0,2.0,46.0
267,Super built-up  Area,0,Hennur Road,3,1866.0,2.0,2.0,61.58
268,Super built-up  Area,1,others,2,700.0,1.0,1.0,26.0
269,Super built-up  Area,1,Kalena Agrahara,3,1804.0,3.0,2.0,120.0
270,Super built-up  Area,1,Sarjapur,2,913.0,2.0,1.0,32.0
271,Super built-up  Area,0,Talaghattapura,3,1868.0,3.0,2.0,131.0
272,Built-up  Area,1,Kengeri Satellite Town,2,883.0,2.0,1.0,45.0
273,Plot  Area,1,others,2,900.0,2.0,1.0,110.0
274,Super built-up  Area,1,others,3,1664.0,2.0,3.0,73.95
275,Super built-up  Area,1,Hegde Nagar,3,2026.0,3.0,2.0,132.0
276,Super built-up  Area,1,Balagere,2,1210.0,2.0,1.0,80.9
277,Plot  Area,1,others,4,4111.0,4.0,2.0,250.0
278,Super built-up  Area,1,Kadugodi,3,1762.0,3.0,3.0,91.45
279,Super built-up  Area,1,Jigani,3,1252.0,3.0,3.0,55.0
280,Built-up  Area,1,others,2,861.0,2.0,1.0,34.5
281,Built-up  Area,1,7th Phase JP Nagar,3,1420.0,2.0,1.0,100.0
282,Plot  Area,1,others,6,1450.0,6.0,0.0,250.0
283,Built-up  Area,1,Electronics City Phase 1,3,1490.0,3.0,1.0,78.8
284,Super built-up  Area,1,Bisuvanahalli,3,1075.0,2.0,1.0,46.0
285,Super built-up  Area,0,Old Madras Road,3,1425.0,2.0,2.0,94.0
286,Built-up  Area,1,Kalena Agrahara,2,1200.0,2.0,1.0,40.0
287,Super built-up  Area,1,Kaggadasapura,3,1280.0,2.0,2.0,56.0
288,Super built-up  Area,1,others,2,1084.0,2.0,2.0,50.0
289,Super built-up  Area,0,Chandapura,2,1015.0,2.0,2.0,25.88
290,Super built-up  Area,0,Kanakpura Road,2,1017.0,2.0,1.0,51.25
291,Super built-up  Area,1,Haralur Road,2,1027.0,2.0,2.0,44.0
292,Super built-up  Area,1,Electronic City Phase II,2,1069.0,2.0,2.0,45.0
293,Super built-up  Area,1,Hebbal,2,1349.0,2.0,1.0,98.2
294,Super built-up  Area,1,9th Phase JP Nagar,2,1005.0,2.0,1.0,50.0
295,Super built-up  Area,1,Jakkur,2,1417.0,2.0,3.0,75.0
296,Plot  Area,0,TC Palaya,3,1475.0,3.0,1.0,98.0
297,Carpet  Area,1,others,2,950.0,2.0,2.0,47.0
298,Super built-up  Area,1,others,4,2000.0,4.0,0.0,120.0
299,Plot  Area,1,others,3,880.0,3.0,1.0,140.0
300,Super built-up  Area,1,Sarjapur  Road,4,1863.0,3.0,2.0,104.0
301,Super built-up  Area,1,others,2,1010.0,2.0,1.0,29.5
302,Super built-up  Area,1,Kalena Agrahara,3,1425.0,2.0,1.0,70.0
303,Super built-up  Area,1,Vijayanagar,3,1450.0,3.0,0.0,100.0
304,Super built-up  Area,1,Kothanur,3,1847.0,3.0,2.0,105.0
305,Super built-up  Area,1,others,2,1100.0,2.0,3.0,45.0
306,Super built-up  Area,0,Kanakpura Road,1,525.0,1.0,1.0,26.0
307,Super built-up  Area,1,others,3,1665.0,3.0,2.0,95.0
308,Super built-up  Area,1,others,4,1664.0,4.0,3.0,65.0
309,Super built-up  Area,1,JP Nagar,3,1850.0,3.0,3.0,150.0
310,Super built-up  Area,1,Panathur,2,1438.0,2.0,3.0,100.0
311,Super built-up  Area,1,others,3,1560.0,3.0,3.0,115.0
312,Super built-up  Area,0,Yelahanka,2,1350.0,2.0,1.0,55.55
313,Super built-up  Area,1,Kanakpura Road,3,1550.0,3.0,3.0,67.0
314,Super built-up  Area,0,others,2,1140.0,2.0,2.0,46.5
315,Plot  Area,1,others,5,1200.0,5.0,2.0,180.0
316,Super built-up  Area,0,others,2,850.0,2.0,2.0,27.0
317,Super built-up  Area,1,Whitefield,2,1280.0,2.0,2.0,75.0
318,Built-up  Area,1,others,2,1170.0,2.0,2.0,52.0
319,Super built-up  Area,1,others,2,1113.0,2.0,1.0,51.0
320,Super built-up  Area,1,Hennur Road,2,1385.0,2.0,1.0,83.09
321,Super built-up  Area,0,Electronic City,2,1128.0,2.0,1.0,65.0
322,Plot  Area,1,Marathahalli,2,1200.0,2.0,2.0,128.0
323,Plot  Area,1,others,4,1200.0,4.0,3.0,165.0
324,Super built-up  Area,1,Rajaji Nagar,3,2390.0,3.0,2.0,415.0
325,Plot  Area,1,others,4,2400.0,4.0,1.0,400.0
326,Super built-up  Area,1,Haralur Road,3,1464.0,3.0,2.0,56.0
327,Super built-up  Area,1,others,2,1200.0,2.0,2.0,55.0
328,Super built-up  Area,1,others,2,1200.0,2.0,2.0,52.0
329,Super built-up  Area,1,others,3,1150.0,2.0,1.0,55.0
330,Built-up  Area,1,others,3,1645.0,3.0,2.0,95.0
331,Super built-up  Area,0,Sarjapur  Road,2,1000.0,2.0,1.0,67.0
332,Plot  Area,1,Haralur Road,4,2650.0,4.0,2.0,198.0
333,Super built-up  Area,1,others,2,1192.0,2.0,2.0,74.0
334,Super built-up  Area,1,others,3,2135.0,3.0,2.0,215.0
335,Super built-up  Area,0,Whitefield,2,1173.0,2.0,1.0,58.0
336,Built-up  Area,1,Uttarahalli,2,1020.0,2.0,2.0,45.0
337,Super built-up  Area,1,Thigalarapalya,4,3122.0,6.0,2.0,230.0
338,Super built-up  Area,1,Somasundara Palya,3,1600.0,3.0,3.0,64.0
339,Plot  Area,0,others,2,1200.0,2.0,0.0,79.0
340,Carpet  Area,1,others,2,1230.0,2.0,3.0,48.0
341,Super built-up  Area,1,others,2,1250.0,2.0,2.0,40.0
342,Super built-up  Area,1,Kalena Agrahara,2,1325.0,2.0,2.0,76.0
343,Built-up  Area,1,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
345,Super built-up  Area,1,others,2,1200.0,2.0,2.0,65.0
346,Plot  Area,1,others,3,1350.0,2.0,0.0,140.0
347,Super built-up  Area,0,Bommasandra,3,1260.0,3.0,1.0,49.36
348,Super built-up  Area,1,others,3,1800.0,3.0,0.0,150.0
349,Plot  Area,0,others,3,11.0,3.0,2.0,74.0
350,Built-up  Area,1,others,2,1100.0,2.0,1.0,43.25
351,Super built-up  Area,1,Harlur,2,1508.0,2.0,1.0,77.0
352,Carpet  Area,1,others,3,1592.0,3.0,2.0,75.0
353,Super built-up  Area,1,Akshaya Nagar,2,1388.0,2.0,3.0,57.0
354,Super built-up  Area,0,Electronic City Phase II,1,630.0,1.0,1.0,28.35
355,Plot  Area,1,others,3,2000.0,3.0,2.0,365.0
356,Super built-up  Area,1,others,3,1762.0,3.0,1.0,125.0
357,Super built-up  Area,0,others,2,950.0,2.0,2.0,50.0
358,Super built-up  Area,1,others,4,3252.0,5.0,3.0,335.0
359,Super built-up  Area,0,others,2,1116.0,2.0,1.0,50.0
360,Super built-up  Area,1,others,2,1308.0,2.0,2.0,89.04
361,Super built-up  Area,1,others,3,1200.0,3.0,0.0,90.0
362,Plot  Area,1,others,4,1500.0,4.0,2.0,230.0
363,Built-up  Area,1,Bannerghatta Road,1,500.0,1.0,1.0,18.5
364,Super built-up  Area,1,Hennur,2,1075.0,2.0,1.0,52.0
365,Super built-up  Area,0,Chandapura,1,530.0,1.0,0.0,11.66
366,Built-up  Area,1,Bellandur,2,1205.0,2.0,3.0,66.0
367,Super built-up  Area,1,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
368,Built-up  Area,1,KR Puram,2,930.0,2.0,2.0,39.0
369,Super built-up  Area,1,Balagere,2,1380.0,2.0,1.0,60.0
370,Super built-up  Area,1,Hebbal,4,2483.0,5.0,2.0,212.0
371,Built-up  Area,1,others,2,1166.0,2.0,2.0,55.0
372,Super built-up  Area,1,Bannerghatta Road,2,1050.0,2.0,1.0,65.0
373,Super built-up  Area,0,others,3,2023.71,3.0,2.0,275.0
374,Super built-up  Area,1,Begur Road,2,1200.0,2.0,2.0,46.8
375,Super built-up  Area,1,Lakshminarayana Pura,3,1600.0,2.0,1.0,108.0
376,Super built-up  Area,1,others,3,1935.0,3.0,2.0,110.0
377,Super built-up  Area,0,8th Phase JP Nagar,1,451.0,1.0,0.0,29.9
378,Super built-up  Area,1,Electronic City,3,1800.0,3.0,2.0,95.0
379,Super built-up  Area,0,Jalahalli,3,1400.0,3.0,0.0,77.0
380,Super built-up  Area,1,Hegde Nagar,3,1801.0,3.0,2.0,115.0
382,Plot  Area,0,Anekal,2,1200.0,1.0,1.0,36.0
383,Super built-up  Area,1,Begur Road,2,1160.0,2.0,2.0,44.0
384,Built-up  Area,1,Kengeri,2,1000.0,2.0,1.0,25.0
385,Super built-up  Area,1,Kanakpura Road,2,950.0,2.0,1.0,40.0
386,Built-up  Area,0,others,3,1629.0,3.0,2.0,79.0
387,Built-up  Area,1,Vijayanagar,3,1580.0,2.0,0.0,134.0
388,Super built-up  Area,0,Vijayanagar,3,1826.0,3.0,2.0,121.0
389,Built-up  Area,1,7th Phase JP Nagar,2,1245.0,2.0,1.0,94.0
390,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1145.0,2.0,2.0,45.79
391,Super built-up  Area,1,others,2,825.0,2.0,1.0,33.0
392,Super built-up  Area,0,Yeshwanthpur,3,1693.0,3.0,3.0,108.0
