,availability,size,total_sqft,bath,balcony,price,area_type_n,location_n
77,1,3,2511.0,3.0,3.0,205.0,0,112
78,1,2,460.0,1.0,0.0,22.0,0,112
79,1,6,4400.0,6.0,3.0,250.0,0,112
80,1,3,1660.0,2.0,2.0,105.0,3,112
82,0,2,1326.0,2.0,2.0,78.0,3,109
83,1,3,1325.0,2.0,2.0,60.8,3,112
85,1,6,3000.0,7.0,2.0,210.0,0,44
86,1,3,1665.0,3.0,2.0,88.0,3,65
87,0,2,708.0,2.0,2.0,37.0,3,112
88,1,2,1060.0,2.0,2.0,58.06,3,66
90,1,2,1000.0,2.0,2.0,70.0,0,112
91,0,2,1000.0,2.0,1.0,28.88,3,32
92,1,3,1450.0,2.0,2.0,70.0,3,112
93,1,4,1200.0,4.0,2.0,155.0,2,112
94,0,2,1296.0,2.0,3.0,80.0,3,100
95,1,3,1540.0,3.0,2.0,90.0,3,112
96,1,4,2894.0,4.0,1.0,245.0,2,67
97,1,3,1330.0,2.0,1.0,48.0,3,112
98,1,2,1200.0,2.0,1.0,65.0,0,112
99,1,3,1200.0,3.0,1.0,90.0,0,112
100,1,3,2502.0,3.0,3.0,138.0,3,111
101,1,2,650.0,1.0,1.0,17.0,0,26
102,1,3,2400.0,2.0,1.0,150.0,2,72
103,1,2,1007.0,2.0,2.0,43.0,3,112
104,1,2,1200.0,2.0,2.0,50.0,3,112
105,1,2,966.0,2.0,2.0,49.9,3,112
106,1,3,1630.0,2.0,1.0,98.0,0,82
107,1,3,1640.0,3.0,2.0,229.0,0,90
108,1,2,782.0,2.0,2.0,55.68,0,112
109,0,2,1260.0,2.0,2.0,66.78,3,29
110,1,3,1800.0,3.0,3.0,120.0,3,112
111,1,3,1413.0,2.0,2.0,75.0,3,112
112,1,2,1116.0,2.0,1.0,51.91,3,108
113,1,3,1530.0,2.0,1.0,45.9,3,32
114,1,4,3700.0,4.0,1.0,225.0,0,92
115,1,3,2497.0,3.0,2.0,140.0,0,95
116,1,3,1540.0,2.0,3.0,64.0,3,67
117,0,3,1436.0,3.0,1.0,74.75,3,100
118,0,2,1100.0,2.0,2.0,75.0,3,79
120,1,3,1427.0,3.0,2.0,120.0,3,100
121,1,3,2061.0,3.0,1.0,200.0,3,4
123,1,4,2650.0,4.0,2.0,150.0,0,112
124,0,3,1282.0,2.0,2.0,68.52,3,29
125,1,2,1050.0,2.0,1.0,34.0,0,60
126,1,3,1600.0,3.0,2.0,65.0,0,112
127,0,2,945.0,2.0,1.0,54.0,3,112
128,1,2,1500.0,2.0,1.0,78.0,3,49
130,1,3,1870.0,3.0,3.0,110.0,0,112
131,1,3,1600.0,3.0,1.0,75.0,2,94
133,1,4,1200.0,4.0,0.0,210.0,2,112
134,1,3,1535.0,3.0,2.0,83.0,3,74
135,1,2,950.0,2.0,1.0,57.0,0,65
136,0,2,1360.0,2.0,1.0,65.0,3,29
137,0,2,1073.5,2.0,0.0,54.005,3,2
138,0,3,1280.0,3.0,1.0,50.4,3,22
139,0,3,1260.0,2.0,2.0,85.05,3,112
141,0,5,3050.0,5.0,1.0,213.0,3,109
142,1,3,1563.05,3.0,1.0,105.0,3,66
143,1,2,1000.0,2.0,1.0,60.0,3,112
144,0,2,1167.0,2.0,1.0,43.76,3,7
145,1,7,4000.0,7.0,2.0,225.0,3,112
147,1,2,890.0,2.0,1.0,35.0,3,68
148,1,3,1612.0,3.0,3.0,46.74,3,112
150,0,3,1710.0,4.0,2.0,91.31,3,81
151,1,2,957.0,2.0,1.0,58.0,3,112
152,0,3,1250.0,2.0,3.0,44.0,3,112
154,1,2,1125.0,2.0,2.0,50.0,3,53
155,0,2,1020.0,2.0,1.0,30.6,3,33
156,1,2,1200.0,2.0,2.0,50.0,3,62
157,1,3,1735.0,3.0,3.0,135.0,3,100
158,1,3,2050.0,3.0,1.0,145.0,3,100
159,1,4,3750.0,4.0,0.0,760.0,2,112
160,1,3,1350.0,2.0,3.0,48.0,0,112
161,0,2,1063.0,2.0,1.0,32.0,3,50
162,1,3,1904.0,3.0,1.0,150.0,3,112
163,1,4,4200.0,4.0,2.0,420.0,0,108
164,1,3,2000.0,3.0,1.0,175.0,3,112
165,0,2,1242.5,2.0,0.0,43.49,3,94
166,1,3,1425.0,2.0,2.0,75.0,3,112
167,1,3,1500.0,2.0,1.0,64.5,3,32
168,1,2,1060.0,2.0,1.0,60.0,0,32
169,1,3,1470.0,2.0,2.0,70.0,0,112
170,1,6,1300.0,6.0,0.0,99.0,3,112
171,1,1,450.0,1.0,1.0,11.0,3,10
172,0,2,1152.0,2.0,1.0,64.5,3,32
173,1,3,1350.0,2.0,1.0,56.0,3,32
174,1,3,1550.0,3.0,3.0,65.0,3,25
175,1,3,1500.0,3.0,2.0,100.0,2,112
177,1,1,400.0,1.0,0.0,14.0,2,112
178,1,1,705.0,1.0,2.0,67.0,3,79
179,1,2,770.0,1.0,1.0,36.0,0,32
180,1,2,1242.0,2.0,3.0,51.0,3,53
181,1,3,1700.0,3.0,2.0,155.0,3,43
182,1,3,2144.0,3.0,2.0,145.0,3,100
183,0,3,1704.0,3.0,2.0,110.0,3,106
184,1,2,1070.0,2.0,1.0,52.0,3,32
185,1,3,1846.0,3.0,2.0,300.0,2,112
186,1,2,1340.0,2.0,2.0,55.7,3,112
187,1,2,1025.0,2.0,1.0,46.0,0,32
188,1,2,1277.5,2.0,0.0,56.8,3,59
189,1,2,1200.0,2.0,2.0,52.0,3,80
190,0,4,2250.0,4.0,1.0,110.0,0,65
191,1,3,1550.0,2.0,3.0,80.0,3,112
193,1,7,1800.0,7.0,1.0,250.0,2,112
194,1,2,1200.0,2.0,2.0,60.0,3,80
195,1,2,1327.0,2.0,2.0,98.0,3,109
196,1,2,1186.0,2.0,2.0,58.0,3,72
197,1,3,1783.0,3.0,1.0,115.0,0,112
198,1,3,1400.0,3.0,2.0,56.0,3,39
199,1,2,980.0,2.0,1.0,48.0,3,112
200,1,2,1285.0,2.0,2.0,82.0,3,112
201,1,3,912.0,2.0,1.0,70.0,3,112
202,1,2,1225.0,2.0,2.0,47.6,0,108
203,1,2,1075.0,2.0,1.0,53.0,3,108
204,1,3,1260.0,2.0,2.0,54.0,0,60
205,1,3,1282.0,2.0,2.0,48.7,3,109
206,1,3,1909.0,3.0,2.0,88.0,3,112
207,1,2,1359.0,2.0,1.0,87.0,3,86
208,1,2,1207.0,2.0,2.0,43.5,0,112
209,1,4,1736.0,6.0,0.0,190.0,2,85
210,0,4,2850.0,4.0,1.0,428.0,3,112
211,1,3,1595.0,3.0,2.0,65.0,3,63
212,0,3,1798.0,3.0,2.0,89.0,0,112
213,1,3,1475.0,3.0,2.0,78.29,3,34
214,1,3,1580.0,3.0,3.0,100.0,3,112
215,1,2,1295.0,2.0,1.0,65.0,3,112
216,1,6,3600.0,6.0,0.0,141.0,0,112
217,1,1,589.0,1.0,1.0,27.0,3,32
218,1,3,1415.0,3.0,3.0,78.0,3,112
219,0,3,1787.0,3.0,2.0,98.29,3,95
220,1,3,1787.0,3.0,2.0,125.0,3,95
221,1,3,1475.0,2.0,3.0,90.0,3,70
222,1,4,2000.0,4.0,1.0,75.5,0,112
223,0,2,984.0,2.0,1.0,44.28,3,95
225,1,3,2405.0,4.0,2.0,260.0,3,112
226,1,2,1080.0,2.0,2.0,72.0,0,1
227,1,2,1500.0,2.0,1.0,115.0,2,112
228,1,3,1900.0,3.0,2.0,119.0,3,42
229,0,2,805.0,2.0,1.0,22.14,3,112
230,1,2,1153.0,2.0,2.0,56.4,3,24
231,1,2,1148.0,2.0,2.0,60.0,3,112
232,1,2,1110.0,2.0,2.0,55.0,3,112
233,1,2,1100.0,2.0,2.0,42.0,0,32
234,1,2,1290.0,2.0,2.0,110.0,3,112
235,1,3,1500.0,2.0,1.0,65.0,3,112
236,0,2,1080.0,2.0,2.0,39.0,3,112
237,0,3,1933.0,3.0,1.0,129.0,3,106
238,1,5,3500.0,5.0,2.0,150.0,0,92
239,1,2,1060.0,2.0,2.0,60.0,0,112
240,0,1,645.0,1.0,1.0,16.45,3,26
241,1,8,2600.0,8.0,2.0,180.0,2,112
242,0,1,645.0,1.0,1.0,16.45,3,26
243,1,3,1644.0,3.0,3.0,84.0,3,112
244,1,2,1285.0,2.0,3.0,72.5,3,112
245,1,3,1200.0,3.0,1.0,90.0,2,32
246,1,2,910.0,2.0,1.0,40.0,3,32
247,1,3,1577.0,3.0,1.0,70.0,3,72
249,1,3,2420.0,3.0,2.0,185.0,3,112
250,1,2,800.0,1.0,1.0,20.0,3,26
251,1,2,1060.0,2.0,2.0,55.0,0,112
252,1,2,1270.0,2.0,2.0,93.0,3,1
253,0,2,900.0,2.0,2.0,22.5,3,112
254,1,2,1280.0,2.0,1.0,69.0,0,112
255,1,4,1200.0,2.0,0.0,95.0,2,48
256,1,2,1025.0,2.0,2.0,36.0,0,95
257,0,2,1108.0,2.0,1.0,63.0,3,32
259,1,3,3045.0,3.0,2.0,170.0,3,112
260,1,4,2900.0,3.0,2.0,300.0,2,6
261,1,3,1500.0,3.0,2.0,75.5,3,106
262,1,2,1295.0,2.0,2.0,43.9,3,89
263,1,2,1162.0,2.0,1.0,59.9,3,24
264,1,2,1035.0,2.0,2.0,49.2,3,95
265,1,4,1600.0,4.0,0.0,52.8,0,10
266,1,3,1464.0,3.0,2.0,46.0,3,112
267,0,3,1866.0,2.0,2.0,61.58,3,46
268,1,2,700.0,1.0,1.0,26.0,3,112
269,1,3,1804.0,3.0,2.0,120.0,3,62
270,1,2,913.0,2.0,1.0,32.0,3,94
271,0,3,1868.0,3.0,2.0,131.0,3,99
272,1,2,883.0,2.0,1.0,45.0,0,68
273,1,2,900.0,2.0,1.0,110.0,2,112
274,1,3,1664.0,2.0,3.0,73.95,3,112
275,1,3,2026.0,3.0,2.0,132.0,3,44
276,1,2,1210.0,2.0,1.0,80.9,3,12
277,1,4,4111.0,4.0,2.0,250.0,2,112
278,1,3,1762.0,3.0,3.0,91.45,3,60
279,1,3,1252.0,3.0,3.0,55.0,3,58
280,1,2,861.0,2.0,1.0,34.5,0,112
281,1,3,1420.0,2.0,1.0,100.0,0,1
282,1,6,1450.0,6.0,0.0,250.0,2,112
283,1,3,1490.0,3.0,1.0,78.8,0,34
284,1,3,1075.0,2.0,1.0,46.0,3,19
285,0,3,1425.0,2.0,2.0,94.0,3,84
286,1,2,1200.0,2.0,1.0,40.0,0,62
287,1,3,1280.0,2.0,2.0,56.0,3,61
288,1,2,1084.0,2.0,2.0,50.0,3,112
289,0,2,1015.0,2.0,2.0,25.88,3,26
290,0,2,1017.0,2.0,1.0,51.25,3,65
291,1,2,1027.0,2.0,2.0,44.0,3,40
292,1,2,1069.0,2.0,2.0,45.0,3,33
293,1,2,1349.0,2.0,1.0,98.2,3,42
294,1,2,1005.0,2.0,1.0,50.0,3,3
295,1,2,1417.0,2.0,3.0,75.0,3,56
296,0,3,1475.0,3.0,1.0,98.0,2,98
297,1,2,950.0,2.0,2.0,47.0,1,112
298,1,4,2000.0,4.0,0.0,120.0,3,112
299,1,3,880.0,3.0,1.0,140.0,2,112
300,1,4,1863.0,3.0,2.0,104.0,3,95
301,1,2,1010.0,2.0,1.0,29.5,3,112
302,1,3,1425.0,2.0,1.0,70.0,3,62
303,1,3,1450.0,3.0,0.0,100.0,3,106
304,1,3,1847.0,3.0,2.0,105.0,3,72
305,1,2,1100.0,2.0,3.0,45.0,3,112
306,0,1,525.0,1.0,1.0,26.0,3,65
307,1,3,1665.0,3.0,2.0,95.0,3,112
308,1,4,1664.0,4.0,3.0,65.0,3,112
309,1,3,1850.0,3.0,3.0,150.0,3,55
310,1,2,1438.0,2.0,3.0,100.0,3,86
311,1,3,1560.0,3.0,3.0,115.0,3,112
312,0,2,1350.0,2.0,1.0,55.55,3,109
313,1,3,1550.0,3.0,3.0,67.0,3,65
314,0,2,1140.0,2.0,2.0,46.5,3,112
315,1,5,1200.0,5.0,2.0,180.0,2,112
316,0,2,850.0,2.0,2.0,27.0,3,112
317,1,2,1280.0,2.0,2.0,75.0,3,108
318,1,2,1170.0,2.0,2.0,52.0,0,112
319,1,2,1113.0,2.0,1.0,51.0,3,112
320,1,2,1385.0,2.0,1.0,83.09,3,46
321,0,2,1128.0,2.0,1.0,65.0,3,32
322,1,2,1200.0,2.0,2.0,128.0,2,80
323,1,4,1200.0,4.0,3.0,165.0,2,112
324,1,3,2390.0,3.0,2.0,415.0,3,90
325,1,4,2400.0,4.0,1.0,400.0,2,112
326,1,3,1464.0,3.0,2.0,56.0,3,40
327,1,2,1200.0,2.0,2.0,55.0,3,112
328,1,2,1200.0,2.0,2.0,52.0,3,112
329,1,3,1150.0,2.0,1.0,55.0,3,112
330,1,3,1645.0,3.0,2.0,95.0,0,112
331,0,2,1000.0,2.0,1.0,67.0,3,95
332,1,4,2650.0,4.0,2.0,198.0,2,40
333,1,2,1192.0,2.0,2.0,74.0,3,112
334,1,3,2135.0,3.0,2.0,215.0,3,112
335,0,2,1173.0,2.0,1.0,58.0,3,108
336,1,2,1020.0,2.0,2.0,45.0,0,103
337,1,4,3122.0,6.0,2.0,230.0,3,101
338,1,3,1600.0,3.0,3.0,64.0,3,96
339,0,2,1200.0,2.0,0.0,79.0,2,112
340,1,2,1230.0,2.0,3.0,48.0,1,112
341,1,2,1250.0,2.0,2.0,40.0,3,112
342,1,2,1325.0,2.0,2.0,76.0,3,62
343,1,3,1850.0,3.0,1.0,150.0,0,1
345,1,2,1200.0,2.0,2.0,65.0,3,112
346,1,3,1350.0,2.0,0.0,140.0,2,112
347,0,3,1260.0,3.0,1.0,49.36,3,21
348,1,3,1800.0,3.0,0.0,150.0,3,112
350,1,2,1100.0,2.0,1.0,43.25,0,112
351,1,2,1508.0,2.0,1.0,77.0,3,41
352,1,3,1592.0,3.0,2.0,75.0,1,112
353,1,2,1388.0,2.0,3.0,57.0,3,4
354,0,1,630.0,1.0,1.0,28.35,3,33
355,1,3,2000.0,3.0,2.0,365.0,2,112
356,1,3,1762.0,3.0,1.0,125.0,3,112
357,0,2,950.0,2.0,2.0,50.0,3,112
358,1,4,3252.0,5.0,3.0,335.0,3,112
359,0,2,1116.0,2.0,1.0,50.0,3,112
360,1,2,1308.0,2.0,2.0,89.04,3,112
361,1,3,1200.0,3.0,0.0,90.0,3,112
362,1,4,1500.0,4.0,2.0,230.0,2,112
363,1,1,500.0,1.0,1.0,18.5,0,14
364,1,2,1075.0,2.0,1.0,52.0,3,45
365,0,1,530.0,1.0,0.0,11.66,3,26
366,1,2,1205.0,2.0,3.0,66.0,0,17
367,1,2,1075.0,2.0,2.0,60.0,3,0
368,1,2,930.0,2.0,2.0,39.0,0,59
369,1,2,1380.0,2.0,1.0,60.0,3,12
370,1,4,2483.0,5.0,2.0,212.0,3,42
371,1,2,1166.0,2.0,2.0,55.0,0,112
372,1,2,1050.0,2.0,1.0,65.0,3,14
373,0,3,2023.71,3.0,2.0,275.0,3,112
374,1,2,1200.0,2.0,2.0,46.8,3,16
375,1,3,1600.0,2.0,1.0,108.0,3,77
376,1,3,1935.0,3.0,2.0,110.0,3,112
377,0,1,451.0,1.0,0.0,29.9,3,2
378,1,3,1800.0,3.0,2.0,95.0,3,32
379,0,3,1400.0,3.0,0.0,77.0,3,57
380,1,3,1801.0,3.0,2.0,115.0,3,44
382,0,2,1200.0,1.0,1.0,36.0,2,9
383,1,2,1160.0,2.0,2.0,44.0,3,16
384,1,2,1000.0,2.0,1.0,25.0,0,67
385,1,2,950.0,2.0,1.0,40.0,3,65
386,0,3,1629.0,3.0,2.0,79.0,0,112
387,1,3,1580.0,2.0,0.0,134.0,0,106
388,0,3,1826.0,3.0,2.0,121.0,3,106
389,1,2,1245.0,2.0,1.0,94.0,0,1
390,1,2,1145.0,2.0,2.0,45.79,3,89
391,1,2,825.0,2.0,1.0,33.0,3,112
392,0,3,1693.0,3.0,3.0,108.0,3,111
393,1,2,1113.27,2.0,2.0,53.0,3,34
394,1,2,1460.0,2.0,1.0,58.0,0,112
395,1,2,1050.0,2.0,1.0,32.0,0,31
396,1,2,1260.0,2.0,2.0,55.0,0,30
398,1,2,1656.0,2.0,1.0,120.0,0,52
399,1,3,1208.0,3.0,1.0,45.0,3,26
400,1,3,1910.0,3.0,2.0,161.0,3,108
401,1,4,3252.0,4.0,1.0,230.0,3,108
402,1,2,1200.0,2.0,1.0,65.0,2,112
403,1,4,1200.0,4.0,1.0,175.0,3,112
404,1,2,1175.0,2.0,1.0,82.0,3,1
405,1,2,1000.0,2.0,0.0,165.0,2,112
406,1,4,1200.0,2.0,0.0,125.0,2,14
407,1,3,2390.0,3.0,2.0,410.0,3,90
409,1,2,550.0,1.0,1.0,62.0,2,112
412,1,2,750.0,2.0,1.0,38.0,3,67
413,1,6,1200.0,7.0,3.0,250.0,2,112
414,1,3,1550.0,3.0,3.0,64.5,3,65
415,1,3,1760.0,3.0,2.0,88.0,0,112
416,1,2,1125.0,2.0,2.0,62.0,3,112
417,1,3,1350.0,3.0,2.0,150.0,2,82
418,0,2,1000.0,2.0,1.0,55.0,2,7
419,0,2,1090.0,2.0,2.0,31.48,0,22
420,1,2,1200.0,2.0,0.0,60.0,2,98
421,1,3,1991.0,4.0,2.0,103.0,3,24
422,0,2,1060.0,2.0,1.0,26.5,3,21
423,1,2,1105.0,2.0,1.0,75.0,3,5
424,1,2,985.0,2.0,2.0,67.0,0,47
425,1,6,1533.0,5.0,3.0,85.0,2,26
426,0,3,1590.0,3.0,2.0,79.0,3,12
427,1,2,1120.0,2.0,2.0,55.0,3,25
428,1,2,1069.0,2.0,1.0,55.0,3,112
429,1,3,1933.0,3.0,2.0,140.0,3,80
430,0,2,1194.0,2.0,0.0,69.0,0,52
431,1,2,1150.0,2.0,3.0,69.0,3,23
432,1,2,1240.0,2.0,2.0,47.12,3,112
433,1,2,1419.0,2.0,2.0,48.1,3,89
436,1,3,1450.0,3.0,2.0,55.0,3,112
437,0,3,1630.0,3.0,2.0,68.29,3,112
438,1,2,708.0,1.0,1.0,40.0,3,112
439,1,3,1000.0,4.0,3.0,110.0,2,66
441,1,2,1250.0,2.0,1.0,76.0,3,17
442,1,3,1400.0,2.0,1.0,95.0,3,1
443,1,3,1670.0,2.0,3.0,57.0,3,95
444,1,3,1750.0,3.0,2.0,100.0,3,112
445,1,2,1404.0,2.0,1.0,71.0,3,107
446,1,3,1715.0,2.0,2.0,95.0,3,47
447,0,1,630.0,1.0,1.0,34.65,0,32
448,1,3,1752.12,3.0,2.0,135.0,3,41
449,1,3,1650.0,3.0,2.0,78.0,3,53
450,1,2,1295.0,2.0,1.0,55.47,3,89
451,1,3,1800.0,3.0,2.0,252.0,2,112
452,0,2,1346.0,2.0,1.0,74.03,3,95
453,1,4,1200.0,4.0,2.0,200.0,2,112
454,1,2,1150.0,2.0,2.0,55.0,3,49
455,1,4,3309.0,4.0,3.0,325.0,0,112
456,0,3,1190.0,2.0,2.0,30.35,3,26
457,1,3,1620.0,3.0,2.0,98.0,3,112
458,0,2,950.0,2.0,1.0,46.96,3,80
460,1,3,2450.0,3.0,0.0,120.0,3,41
461,0,3,1220.0,2.0,1.0,35.23,3,33
462,1,2,850.0,2.0,1.0,30.0,3,112
463,1,2,1020.0,2.0,2.0,63.0,0,85
464,1,2,1100.0,2.0,2.0,50.0,0,28
465,1,2,1150.0,2.0,2.0,126.0,3,112
466,0,3,1760.0,2.0,2.0,130.0,3,42
467,1,3,1800.0,3.0,3.0,110.0,3,5
468,1,2,1070.0,2.0,1.0,54.0,3,4
469,1,4,1500.0,4.0,2.0,220.0,2,112
470,1,2,1440.0,2.0,0.0,95.0,2,105
471,1,2,900.0,2.0,1.0,40.0,3,112
472,1,4,1200.0,4.0,1.0,230.0,0,112
473,0,2,1130.0,2.0,1.0,42.16,3,108
474,1,2,1320.0,2.0,1.0,165.0,3,70
475,0,2,1270.0,2.0,1.0,98.0,3,112
476,1,2,1200.0,2.0,1.0,62.0,0,112
478,1,2,1200.0,2.0,1.0,74.0,3,112
479,1,2,929.0,2.0,0.0,50.17,3,97
480,1,4,1150.0,4.0,2.0,260.0,0,112
481,1,4,1125.0,4.0,3.0,180.0,2,15
483,1,5,1200.0,5.0,2.0,190.0,2,112
484,1,3,1464.0,3.0,2.0,56.0,3,112
485,1,4,3600.0,4.0,3.0,400.0,3,1
486,1,4,2000.0,4.0,2.0,99.0,2,112
487,1,2,1208.0,2.0,1.0,49.0,3,28
488,1,2,1130.0,2.0,2.0,60.0,3,43
489,1,3,1753.0,3.0,2.0,120.0,3,112
490,1,5,4500.0,7.0,3.0,337.0,3,84
491,1,3,600.0,3.0,2.0,58.0,2,112
492,0,2,1196.0,2.0,2.0,94.42,3,47
493,1,2,1150.0,3.0,3.0,52.5,0,0
494,0,2,1128.0,2.0,1.0,63.0,3,32
495,1,2,1000.0,2.0,1.0,53.0,3,112
496,1,2,1035.0,2.0,1.0,45.0,3,109
497,1,2,950.0,2.0,1.0,32.0,0,112
498,1,3,1075.0,2.0,1.0,36.0,3,19
499,1,2,1040.0,2.0,1.0,48.5,3,108
500,0,2,720.0,2.0,1.0,45.0,2,112
501,1,3,1511.0,3.0,1.0,95.0,3,112
502,1,3,1300.0,3.0,1.0,58.0,0,112
503,0,3,1545.0,3.0,1.0,68.75,3,47
505,1,2,1062.0,2.0,3.0,38.0,3,105
506,1,2,1115.0,2.0,1.0,40.0,3,112
507,1,2,1000.0,2.0,1.0,35.0,3,55
508,0,2,883.0,2.0,1.0,45.0,3,112
509,0,2,1195.0,2.0,1.0,70.0,3,95
510,1,4,1200.0,3.0,1.0,165.0,2,112
511,1,1,700.0,1.0,0.0,41.0,0,112
512,1,2,1246.0,2.0,1.0,67.0,3,107
513,1,4,660.0,4.0,2.0,90.0,2,2
515,1,4,1600.0,4.0,1.0,80.0,3,112
516,0,4,2805.0,5.0,3.0,154.0,3,40
518,1,4,3000.0,5.0,1.0,275.0,2,112
519,1,3,1175.0,2.0,2.0,48.0,0,52
520,0,3,1595.0,3.0,2.0,115.0,0,112
521,1,2,1353.0,2.0,2.0,110.0,3,112
522,0,3,1599.0,3.0,2.0,125.0,3,32
523,1,2,1150.0,2.0,1.0,70.0,3,108
525,1,2,1155.0,2.0,2.0,42.74,3,59
527,0,2,1000.0,2.0,1.0,25.0,3,33
529,1,3,1867.0,3.0,1.0,160.0,0,112
530,0,2,1251.0,2.0,1.0,47.0,3,91
531,0,2,1028.0,2.0,1.0,45.5,3,112
532,1,2,1222.0,2.0,2.0,45.0,3,112
533,1,3,1170.0,2.0,1.0,66.0,3,14
534,1,3,2400.0,4.0,1.0,245.0,3,42
535,1,3,1385.0,2.0,2.0,48.48,3,112
536,1,2,1372.0,2.0,1.0,68.0,3,39
537,1,3,1282.0,2.0,2.0,49.0,3,112
538,1,9,5000.0,9.0,3.0,210.0,3,112
539,1,5,3000.0,3.0,1.0,528.0,0,112
540,1,2,1135.0,2.0,1.0,39.73,3,65
541,0,3,1768.0,3.0,2.0,101.0,0,108
542,1,3,1325.0,2.0,1.0,90.0,0,112
543,0,3,1599.0,3.0,2.0,99.0,3,32
544,0,3,1500.0,3.0,1.0,61.95,2,108
545,1,3,2610.0,3.0,0.0,499.0,2,112
546,1,2,1286.0,2.0,2.0,63.0,3,103
547,1,5,2845.0,5.0,1.0,140.0,0,112
549,0,2,1317.5,2.0,0.0,63.77,3,46
551,0,2,1102.0,2.0,2.0,53.67,3,112
552,1,2,1350.0,2.0,2.0,54.0,3,109
553,1,3,1200.0,2.0,2.0,42.0,3,13
554,1,6,1300.0,6.0,0.0,145.0,2,50
555,1,2,1800.0,1.0,1.0,80.0,2,112
556,1,2,950.0,2.0,1.0,40.0,0,112
557,0,1,525.0,1.0,1.0,27.25,3,65
558,1,2,656.0,2.0,1.0,25.0,0,10
559,1,4,1780.0,4.0,3.0,175.0,2,80
560,1,2,1056.0,2.0,1.0,80.0,3,112
561,0,1,595.0,1.0,1.0,33.32,3,14
562,1,2,1080.0,2.0,2.0,50.0,0,112
563,0,3,2225.0,3.0,1.0,160.0,3,1
